pair_id,source,destination,step,cur_node,event,best_cost,ar,path
0,0,9,0,1,TRIGGER_KEPT,420.59,130.32,0-1-5-9
0,0,9,1,5,REROUTE,492.45,266.85,5-9
0,0,9,2,9,OK,492.45,513.73,5-9
1,0,7,0,1,TRIGGER_KEPT,475.00,123.32,0-1-5-6-7
1,0,7,1,5,OK,475.00,247.13,0-1-5-6-7
1,0,7,2,6,OK,475.00,381.44,0-1-5-6-7
1,0,7,3,7,OK,475.00,495.18,0-1-5-6-7
2,0,3,0,1,TRIGGER_KEPT,370.00,135.69,0-1-2-3
2,0,3,1,2,TRIGGER_KEPT,370.00,312.70,0-1-2-3
2,0,3,2,3,OK,370.00,412.70,0-1-2-3
3,1,8,0,5,REROUTE,269.22,117.93,5-8
3,1,8,1,8,OK,269.22,279.67,5-8
4,1,9,0,5,TRIGGER_KEPT,305.59,122.42,1-5-9
4,1,9,1,9,OK,305.59,318.58,1-5-9
5,2,8,0,6,TRIGGER_KEPT,374.17,125.94,2-6-9-8
5,2,8,1,9,REROUTE,399.92,295.18,9-8
5,2,8,2,8,OK,399.92,402.65,9-8
6,2,9,0,6,TRIGGER_KEPT,272.50,128.96,2-6-9
6,2,9,1,9,OK,272.50,278.32,2-6-9
7,3,9,0,2,OK,372.50,100.00,3-2-6-9
7,3,9,1,6,REROUTE,389.28,231.66,6-9
7,3,9,2,9,OK,389.28,379.17,6-9
8,4,7,0,5,OK,369.17,126.49,4-5-6-7
8,4,7,1,6,OK,369.17,251.88,4-5-6-7
8,4,7,2,7,OK,369.17,367.17,4-5-6-7
9,4,9,0,8,REROUTE,312.31,182.25,8-9
9,4,9,1,9,OK,312.31,317.58,8-9
10,5,9,0,9,OK,193.09,211.40,5-9
11,6,9,0,5,OK,385.83,119.35,6-5-8-9
11,6,9,1,8,REROUTE,413.38,274.38,8-9
11,6,9,2,9,OK,413.38,417.93,8-9
12,7,0,0,3,OK,432.50,117.83,7-3-2-1-0
12,7,0,1,2,OK,432.50,217.83,7-3-2-1-0
12,7,0,2,1,OK,432.50,346.24,7-3-2-1-0
12,7,0,3,0,OK,432.50,470.51,7-3-2-1-0
13,7,9,0,6,REROUTE,282.65,120.93,6-9
13,7,9,1,9,OK,282.65,294.25,6-9
14,8,1,0,5,OK,212.50,113.96,8-5-1
14,8,1,1,1,OK,212.50,217.97,8-5-1
15,9,0,0,8,OK,350.59,100.02,9-8-4-0
15,9,0,1,4,REROUTE,357.59,250.12,4-0
15,9,0,2,0,OK,357.59,358.89,4-0
16,9,3,0,6,OK,372.50,131.34,9-6-7-3
16,9,3,1,7,OK,372.50,245.83,9-6-7-3
16,9,3,2,3,OK,372.50,359.28,9-6-7-3
0,0,9,0,1,TRIGGER_KEPT,420.59,132.01,0-1-5-9
0,0,9,1,5,OK,420.59,251.50,0-1-5-9
0,0,9,2,9,OK,420.59,417.48,0-1-5-9
1,0,7,0,1,REROUTE,498.29,131.49,1-5-6-7
1,0,7,1,5,OK,498.29,256.09,1-5-6-7
1,0,7,2,6,OK,498.29,387.68,1-5-6-7
1,0,7,3,7,OK,498.29,487.68,1-5-6-7
2,0,3,0,1,TRIGGER_KEPT,370.00,142.20,0-1-2-3
2,0,3,1,2,TRIGGER_KEPT,370.00,305.25,0-1-2-3
2,0,3,2,3,OK,370.00,405.25,0-1-2-3
3,1,8,0,5,OK,252.50,116.68,1-5-8
3,1,8,1,8,OK,252.50,277.96,1-5-8
4,1,9,0,5,TRIGGER_KEPT,305.59,122.50,1-5-9
4,1,9,1,9,OK,305.59,339.11,1-5-9
5,2,8,0,1,OK,362.50,108.15,2-1-5-8
5,2,8,1,5,TRIGGER_KEPT,362.50,233.29,2-1-5-8
5,2,8,2,8,OK,362.50,413.48,2-1-5-8
6,2,9,0,6,REROUTE,297.25,128.22,6-9
6,2,9,1,9,OK,297.25,319.77,6-9
7,3,9,0,2,OK,372.50,100.00,3-2-6-9
7,3,9,1,6,OK,372.50,229.78,3-2-6-9
7,3,9,2,9,OK,372.50,395.90,3-2-6-9
8,4,7,0,5,OK,369.17,126.02,4-5-6-7
8,4,7,1,6,OK,369.17,252.23,4-5-6-7
8,4,7,2,7,OK,369.17,360.11,4-5-6-7
9,4,9,0,8,TRIGGER_KEPT,319.75,192.65,4-8-9
9,4,9,1,9,OK,319.75,313.59,4-8-9
10,5,9,0,9,OK,193.09,192.67,5-9
11,6,9,0,9,OK,152.50,162.75,6-9
12,7,0,0,3,OK,432.50,118.85,7-3-2-1-0
12,7,0,1,2,OK,432.50,218.85,7-3-2-1-0
12,7,0,2,1,TRIGGER_KEPT,432.50,348.85,7-3-2-1-0
12,7,0,3,0,OK,432.50,472.97,7-3-2-1-0
13,7,9,0,6,OK,267.50,117.67,7-6-9
13,7,9,1,9,OK,267.50,274.86,7-6-9
14,8,1,0,5,OK,212.50,111.96,8-5-1
14,8,1,1,1,OK,212.50,217.56,8-5-1
15,9,0,0,8,OK,350.59,102.16,9-8-4-0
15,9,0,1,4,OK,350.59,251.80,9-8-4-0
15,9,0,2,0,OK,350.59,363.59,9-8-4-0
16,9,3,0,6,OK,337.50,127.30,9-6-2-3
16,9,3,1,2,TRIGGER_KEPT,337.50,245.73,9-6-2-3
16,9,3,2,3,OK,337.50,345.73,9-6-2-3
0,0,9,0,4,TRIGGER_KEPT,472.25,156.85,0-4-8-9
0,0,9,1,8,TRIGGER_KEPT,472.25,339.40,0-4-8-9
0,0,9,2,9,OK,472.25,458.11,0-4-8-9
1,0,7,0,1,REROUTE,557.45,134.76,1-2-6-7
1,0,7,1,2,REROUTE,568.29,305.42,2-3-7
1,0,7,2,3,OK,568.29,419.35,2-3-7
1,0,7,3,7,OK,568.29,571.64,2-3-7
2,0,3,0,1,OK,382.00,125.12,0-1-2-3
2,0,3,1,2,TRIGGER_KEPT,382.00,263.62,0-1-2-3
2,0,3,2,3,OK,382.00,376.63,0-1-2-3
3,1,8,0,5,REROUTE,297.14,144.18,5-8
3,1,8,1,8,OK,297.14,303.09,5-8
4,1,9,0,5,TRIGGER_KEPT,334.07,137.82,1-5-9
4,1,9,1,9,OK,334.07,384.61,1-5-9
5,2,8,0,6,OK,382.00,122.43,2-6-5-8
5,2,8,1,5,OK,382.00,242.53,2-6-5-8
5,2,8,2,8,OK,382.00,425.02,2-6-5-8
6,2,9,0,6,TRIGGER_KEPT,286.00,125.91,2-6-9
6,2,9,1,9,OK,286.00,309.33,2-6-9
7,3,9,0,2,OK,392.00,108.27,3-2-6-9
7,3,9,1,6,REROUTE,425.50,244.98,6-9
7,3,9,2,9,OK,425.50,428.17,6-9
8,4,7,0,0,OK,612.00,106.39,4-0-1-5-6-7
8,4,7,1,1,REROUTE,637.90,239.45,1-2-6-7
8,4,7,2,2,TRIGGER_KEPT,637.90,366.07,1-2-6-7
8,4,7,3,6,OK,637.90,492.06,1-2-6-7
8,4,7,4,7,OK,637.90,614.49,1-2-6-7
9,4,9,0,5,OK,394.50,121.05,4-5-8-9
9,4,9,1,8,REROUTE,433.05,300.19,8-9
9,4,9,2,9,OK,433.05,434.26,8-9
10,5,9,0,6,OK,293.00,130.72,5-6-9
10,5,9,1,9,OK,293.00,362.28,5-6-9
11,6,9,0,9,OK,166.00,190.07,6-9
12,7,0,0,6,OK,435.00,118.72,7-6-5-4-0
12,7,0,1,5,OK,435.00,240.05,7-6-5-4-0
12,7,0,2,4,OK,435.00,340.05,7-6-5-4-0
12,7,0,3,0,OK,435.00,454.18,7-6-5-4-0
13,7,9,0,6,OK,281.00,118.37,7-6-9
13,7,9,1,9,OK,281.00,299.44,7-6-9
14,8,1,0,5,OK,212.50,113.37,8-5-1
14,8,1,1,1,OK,212.50,214.79,8-5-1
15,9,0,0,8,OK,350.59,101.92,9-8-4-0
15,9,0,1,4,TRIGGER_KEPT,350.59,252.85,9-8-4-0
15,9,0,2,0,OK,350.59,355.00,9-8-4-0
16,9,3,0,6,OK,343.50,131.54,9-6-2-3
16,9,3,1,2,OK,343.50,248.40,9-6-2-3
16,9,3,2,3,OK,343.50,363.39,9-6-2-3
0,0,9,0,1,TRIGGER_KEPT,420.59,122.44,0-1-5-9
0,0,9,1,5,TRIGGER_KEPT,420.59,246.29,0-1-5-9
0,0,9,2,9,OK,420.59,425.42,0-1-5-9
1,0,7,0,1,TRIGGER_KEPT,475.00,143.23,0-1-5-6-7
1,0,7,1,5,TRIGGER_KEPT,475.00,268.45,0-1-5-6-7
1,0,7,2,6,REROUTE,523.52,412.77,6-7
1,0,7,3,7,OK,523.52,518.04,6-7
2,0,3,0,1,TRIGGER_KEPT,569.50,141.26,0-1-5-6-2-3
2,0,3,1,5,TRIGGER_KEPT,569.50,273.80,0-1-5-6-2-3
2,0,3,2,6,OK,569.50,406.04,0-1-5-6-2-3
2,0,3,3,2,TRIGGER_KEPT,569.50,535.49,0-1-5-6-2-3
2,0,3,4,3,OK,569.50,669.37,0-1-5-6-2-3
3,1,8,0,5,OK,257.00,117.15,1-5-8
3,1,8,1,8,OK,257.00,278.43,1-5-8
4,1,9,0,5,TRIGGER_KEPT,389.33,122.20,1-5-8-9
4,1,9,1,8,TRIGGER_KEPT,389.33,293.34,1-5-8-9
4,1,9,2,9,OK,389.33,447.37,1-5-8-9
5,2,8,0,1,OK,367.00,107.74,2-1-5-8
5,2,8,1,5,REROUTE,409.76,233.55,5-8
5,2,8,2,8,OK,409.76,431.74,5-8
6,2,9,0,6,OK,299.50,133.30,2-6-9
6,2,9,1,9,OK,299.50,313.49,2-6-9
7,3,9,0,7,OK,439.00,148.06,3-7-6-9
7,3,9,1,6,REROUTE,465.85,289.61,6-9
7,3,9,2,9,OK,465.85,467.74,6-9
8,4,7,0,5,TRIGGER_KEPT,369.17,136.65,4-5-6-7
8,4,7,1,6,TRIGGER_KEPT,369.17,270.12,4-5-6-7
8,4,7,2,7,OK,369.17,374.63,4-5-6-7
9,4,9,0,5,REROUTE,341.58,145.99,5-9
9,4,9,1,9,OK,341.58,341.98,5-9
10,5,9,0,6,OK,293.00,126.53,5-6-9
10,5,9,1,9,OK,293.00,298.38,5-6-9
11,6,9,0,9,OK,170.50,180.89,6-9
12,7,0,0,3,OK,432.50,117.79,7-3-2-1-0
12,7,0,1,2,OK,432.50,217.79,7-3-2-1-0
12,7,0,2,1,OK,432.50,340.19,7-3-2-1-0
12,7,0,3,0,OK,432.50,460.73,7-3-2-1-0
13,7,9,0,6,REROUTE,306.72,127.94,6-9
13,7,9,1,9,OK,306.72,321.72,6-9
14,8,1,0,5,OK,212.50,110.68,8-5-1
14,8,1,1,1,OK,212.50,210.68,8-5-1
15,9,0,0,8,OK,355.09,101.59,9-8-4-0
15,9,0,1,4,REROUTE,368.21,253.88,4-0
15,9,0,2,0,OK,368.21,369.26,4-0
16,9,3,0,6,OK,349.50,133.10,9-6-2-3
16,9,3,1,2,OK,349.50,246.64,9-6-2-3
16,9,3,2,3,OK,349.50,373.86,9-6-2-3
0,0,9,0,1,REROUTE,445.17,138.48,1-5-9
0,0,9,1,5,OK,445.17,260.02,1-5-9
0,0,9,2,9,OK,445.17,465.47,1-5-9
1,0,7,0,1,OK,475.00,117.62,0-1-5-6-7
1,0,7,1,5,TRIGGER_KEPT,475.00,248.50,0-1-5-6-7
1,0,7,2,6,OK,475.00,380.72,0-1-5-6-7
1,0,7,3,7,OK,475.00,495.09,0-1-5-6-7
2,0,3,0,1,REROUTE,368.76,126.24,1-2-3
2,0,3,1,2,TRIGGER_KEPT,368.76,261.86,1-2-3
2,0,3,2,3,OK,368.76,361.86,1-2-3
3,1,8,0,5,REROUTE,263.90,118.72,5-8
3,1,8,1,8,OK,263.90,269.48,5-8
4,1,9,0,5,OK,305.59,116.31,1-5-9
4,1,9,1,9,OK,305.59,353.35,1-5-9
5,2,8,0,1,REROUTE,384.90,117.56,1-5-8
5,2,8,1,5,REROUTE,401.78,240.78,5-8
5,2,8,2,8,OK,401.78,407.16,5-8
6,2,9,0,6,REROUTE,311.45,135.83,6-9
6,2,9,1,9,OK,311.45,325.19,6-9
7,3,9,0,2,OK,372.50,100.00,3-2-6-9
7,3,9,1,6,OK,372.50,230.61,3-2-6-9
7,3,9,2,9,OK,372.50,425.84,3-2-6-9
8,4,7,0,5,REROUTE,386.93,142.41,5-6-7
8,4,7,1,6,OK,386.93,270.50,5-6-7
8,4,7,2,7,OK,386.93,372.29,5-6-7
9,4,9,0,5,TRIGGER_KEPT,314.75,130.50,4-5-9
9,4,9,1,9,OK,314.75,332.56,4-5-9
10,5,9,0,9,OK,193.09,211.87,5-9
11,6,9,0,9,OK,152.50,153.89,6-9
12,7,0,0,3,OK,432.50,117.29,7-3-2-1-0
12,7,0,1,2,OK,432.50,217.29,7-3-2-1-0
12,7,0,2,1,TRIGGER_KEPT,432.50,368.23,7-3-2-1-0
12,7,0,3,0,OK,432.50,498.35,7-3-2-1-0
13,7,9,0,6,TRIGGER_KEPT,267.50,122.13,7-6-9
13,7,9,1,9,OK,267.50,270.90,7-6-9
14,8,1,0,5,REROUTE,218.51,115.40,5-1
14,8,1,1,1,OK,218.51,218.90,5-1
15,9,0,0,8,OK,350.59,102.36,9-8-4-0
15,9,0,1,4,REROUTE,361.33,255.30,4-0
15,9,0,2,0,OK,361.33,365.11,4-0
16,9,3,0,6,OK,337.50,125.00,9-6-2-3
16,9,3,1,2,OK,337.50,239.22,9-6-2-3
16,9,3,2,3,OK,337.50,339.22,9-6-2-3
0,0,9,0,1,REROUTE,493.43,130.15,1-5-9
0,0,9,1,5,TRIGGER_KEPT,493.43,264.35,1-5-9
0,0,9,2,9,OK,493.43,580.51,1-5-9
1,0,7,0,1,REROUTE,533.85,137.35,1-5-6-7
1,0,7,1,5,REROUTE,554.09,286.03,5-6-7
1,0,7,2,6,OK,554.09,427.53,5-6-7
1,0,7,3,7,OK,554.09,557.41,5-6-7
2,0,3,0,1,OK,376.00,118.09,0-1-2-3
2,0,3,1,2,REROUTE,389.47,277.25,2-3
2,0,3,2,3,OK,389.47,393.49,2-3
3,1,8,0,5,REROUTE,284.16,133.28,5-8
3,1,8,1,8,OK,284.16,291.53,5-8
4,1,9,0,5,REROUTE,375.08,134.13,5-9
4,1,9,1,9,OK,375.08,426.13,5-9
5,2,8,0,1,TRIGGER_KEPT,376.00,119.44,2-1-5-8
5,2,8,1,5,TRIGGER_KEPT,376.00,262.94,2-1-5-8
5,2,8,2,8,OK,376.00,437.37,2-1-5-8
6,2,9,0,6,OK,286.00,119.89,2-6-9
6,2,9,1,9,OK,286.00,275.02,2-6-9
7,3,9,0,2,OK,392.00,108.94,3-2-6-9
7,3,9,1,6,OK,392.00,232.48,3-2-6-9
7,3,9,2,9,OK,392.00,456.16,3-2-6-9
8,4,7,0,5,OK,379.67,124.47,4-5-6-7
8,4,7,1,6,OK,379.67,252.45,4-5-6-7
8,4,7,2,7,OK,379.67,383.30,4-5-6-7
9,4,9,0,5,TRIGGER_KEPT,330.48,144.31,4-5-9
9,4,9,1,9,OK,330.48,344.86,4-5-9
10,5,9,0,9,OK,208.81,240.99,5-9
11,6,9,0,9,OK,166.00,177.56,6-9
12,7,0,0,6,OK,435.00,119.19,7-6-5-4-0
12,7,0,1,5,OK,435.00,241.67,7-6-5-4-0
12,7,0,2,4,OK,435.00,342.25,7-6-5-4-0
12,7,0,3,0,OK,435.00,453.66,7-6-5-4-0
13,7,9,0,6,OK,281.00,119.40,7-6-9
13,7,9,1,9,OK,281.00,339.58,7-6-9
14,8,1,0,5,OK,212.50,110.03,8-5-1
14,8,1,1,1,OK,212.50,212.59,8-5-1
15,9,0,0,8,OK,350.59,100.50,9-8-4-0
15,9,0,1,4,REROUTE,359.71,252.92,4-0
15,9,0,2,0,OK,359.71,359.61,4-0
16,9,3,0,6,OK,343.50,133.15,9-6-2-3
16,9,3,1,2,OK,343.50,247.51,9-6-2-3
16,9,3,2,3,OK,343.50,369.00,9-6-2-3
0,0,9,0,1,TRIGGER_KEPT,440.81,133.65,0-1-5-9
0,0,9,1,5,OK,440.81,260.96,0-1-5-9
0,0,9,2,9,OK,440.81,533.96,0-1-5-9
1,0,7,0,1,TRIGGER_KEPT,490.00,122.48,0-1-5-6-7
1,0,7,1,5,TRIGGER_KEPT,490.00,250.24,0-1-5-6-7
1,0,7,2,6,OK,490.00,381.64,0-1-5-6-7
1,0,7,3,7,OK,490.00,506.80,0-1-5-6-7
