pair_idx,source,destination,vehicle_cat,reroute_iterations,reroute_time_ms,energy_proxy,success,final_cost,reroute_path
0,0,9,Truck,100,9.9960,0.0100,NO,0.00,
1,0,9,Bus,100,9.9990,0.0100,NO,0.00,
2,0,9,Car/Micro,100,18.9990,0.0190,YES,1213.33,4-0-1-2-3-7-6-9
14,1,8,Car/Micro,100,22.9960,0.0230,YES,1202.50,4-0-1-2-6-9-8
16,1,9,Truck,100,8.9990,0.0090,NO,0.00,
17,1,9,Bus,100,6.0000,0.0060,NO,0.00,
20,2,8,Truck,100,6.0060,0.0060,NO,0.00,
21,2,8,Bus,100,5.9940,0.0060,NO,0.00,
24,2,9,Truck,100,6.0010,0.0060,NO,0.00,
25,2,9,Bus,100,5.9990,0.0060,NO,0.00,
28,3,9,Truck,100,7.0050,0.0070,NO,0.00,
29,3,9,Bus,100,5.9930,0.0060,NO,0.00,
36,4,9,Truck,100,7.0020,0.0070,NO,0.00,
37,4,9,Bus,100,6.0000,0.0060,NO,0.00,
38,4,9,Car/Micro,100,12.0070,0.0120,YES,1213.33,4-0-1-2-3-7-6-9
39,4,9,Rick/Van/Bike,100,14.0020,0.0140,YES,1213.33,4-0-1-2-3-7-6-9
40,5,9,Truck,100,5.9990,0.0060,NO,0.00,
41,5,9,Bus,100,5.9980,0.0060,NO,0.00,
42,5,9,Car/Micro,100,9.9990,0.0100,YES,1198.33,5-1-2-3-7-6-9
44,6,9,Truck,100,6.0050,0.0060,NO,0.00,
45,6,9,Bus,100,6.0000,0.0060,NO,0.00,
52,7,9,Truck,100,6.0010,0.0060,NO,0.00,
53,7,9,Bus,100,6.9980,0.0070,NO,0.00,
